,Instance,n_N,n_B,Strength,A4,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
45,0,70,53,True,False,0.06280266689633573,3606.1539549827576,1522.4399600028992,51405.0,794.4095239645877,,
46,1,70,64,True,False,2.7667797906895776e-05,2797.9447350502014,2037.6535370349884,17941.0,801.7441509110059,,
47,2,70,53,True,False,0.005107114196822369,3606.1172449588776,1508.6533460617065,67631.0,806.7621377582536,,
48,3,70,58,True,False,0.15658307717990397,3607.3114778995514,1785.9679110050201,72341.0,895.0080909375583,,
49,4,70,60,True,False,9.365045769972647e-05,2438.4822549819946,1917.8166201114655,23296.0,765.6633858462505,,
50,0,70,106,False,True,0.08773981350595203,3661.580163002014,11752.168908119202,34715.0,1068.23149713329,,
51,1,70,129,False,True,0.0,1402.3081729412079,26501.627769708633,2429.0,950.7333415093295,,
52,2,70,106,False,True,0.0,1834.4186511039734,11746.931972026825,14651.0,974.7675754609573,,
53,3,70,117,False,True,0.079128893311976,3685.211051940918,17753.807270765305,23124.0,959.0367016704524,,
54,4,70,120,False,True,0.0173953348930328,3684.375542163849,19411.860132694244,24892.0,974.6032226033219,,
55,0,70,106,True,True,0.35329789773549675,3601.9901900291443,3353.9714391231537,24163.0,1508.4602645228317,,
56,1,70,129,True,True,5.295586726383464e-07,1536.3411781787872,5740.290881156921,3198.0,973.3412631860257,,
57,2,70,106,True,True,0.07550172094661599,3621.585949897766,3349.999405860901,20704.0,1062.5637226837355,,
58,3,70,117,True,True,0.21491133675281957,3627.7280189990997,4348.853673219681,14191.0,1130.9729386314298,,
59,4,70,120,True,True,0.05232645860967129,3629.025115966797,4762.5857989788055,13839.0,1016.777455573792,,
60,0,75,68,False,False,0.7800309068857793,3602.699527025223,3551.7833330631256,8797.0,3417.080269503707,,
61,1,75,63,False,False,0.8355130204581933,3601.59375,2926.840163230896,2674.0,4589.511364477381,,
62,2,75,59,False,False,0.6078985245631078,3601.8415360450745,2451.1756851673126,20770.0,1911.6957306411591,,
63,3,75,63,False,False,,,,,,,
64,4,75,63,False,False,,,,,,,
65,0,75,68,True,False,8.040966848338693e-05,1986.070023059845,2571.220564842224,15962.0,773.3408858213661,,
66,1,75,63,True,False,0.08361267324880028,3610.309705018997,2538.6465520858765,34601.0,848.8979981517693,,
67,2,75,59,True,False,0.4230206494200805,3601.0639979839325,2173.600844144821,25023.0,1275.6633347357642,,
68,3,75,63,True,False,0.6767629566808742,3609.6754529476166,2485.4494557380676,24914.0,2361.5760683784138,,
69,4,75,63,True,False,0.016008055622809422,3609.715175151825,2351.414974927902,61604.0,797.5015049213669,,
70,0,75,137,False,True,0.0,1912.9683320522308,35138.70648884773,2906.0,966.0480258979911,,
71,1,75,126,False,True,0.0,804.7539119720459,25265.72953891754,1088.0,926.3057711965199,,
72,2,75,118,False,True,0.0,1632.7653419971466,19071.085880994797,2690.0,947.3308263710717,,
73,3,75,127,False,True,0.0,1557.553354024887,26404.037508010864,2598.0,953.3453120800862,,
74,4,75,126,False,True,0.054753636273793004,3611.916184902191,24889.80265402794,20670.0,1017.4013072373333,,
75,0,75,137,True,True,5.691706990501812e-07,1660.35502409935,7510.718868017197,3909.0,998.5404007056961,,
76,1,75,126,True,True,0.015288434887956906,3634.0788068771362,5978.221177816391,14093.0,953.5630314699662,,
77,2,75,118,True,True,6.107629463862597e-05,1723.6156840324402,5013.873515129089,3038.0,965.7265335206208,,
78,3,75,127,True,True,7.209786582270865e-05,1641.8606760501862,6161.168492078781,4143.0,979.2677423925179,,
79,4,75,126,True,True,0.08349065523604941,3633.8426809310913,6036.102794885635,13922.0,1059.2319054166207,,
