,Instance,n_N,n_B,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
23,3.0,20.0,38.0,6.095394696259126e-07,30.74873399734497,14.676559925079346,1214.0,448.9062072298053,,
24,4.0,20.0,40.0,0.0,426.5542929172516,16.942760944366455,5091.0,483.6686496435809,,
25,5.0,20.0,36.0,0.0,380.8309428691864,13.813639879226685,2614.0,468.202208211303,,
26,6.0,20.0,35.0,0.0,143.52731609344482,12.245090007781982,981.0,397.80777533489174,,
27,7.0,20.0,38.0,3.0001850870864915e-07,117.55454587936401,15.74474287033081,993.0,476.71698777228494,,
28,8.0,20.0,39.0,3.3491034457739306e-06,235.84036588668823,16.648497104644775,2517.0,517.3639097754725,,
29,9.0,20.0,35.0,0.0,245.85053086280823,12.626958847045898,1408.0,425.47781814915805,,
30,0.0,30.0,52.0,3.8324052609013076e-09,356.9100110530853,41.70580196380615,763.0,640.372717200861,,
31,1.0,30.0,58.0,0.0,2735.7587699890137,56.80223774909973,26384.0,588.3465686163354,,
32,2.0,30.0,49.0,5.648903558975372e-05,398.7927927970886,42.41822004318237,2135.0,599.6506931548856,,
33,3.0,30.0,54.0,3.759178729734542e-07,1152.2427949905396,48.37937688827515,9131.0,590.6324513811052,,
34,4.0,30.0,53.0,0.0,798.9261808395386,42.624675035476685,4408.0,577.3623796325836,,
35,5.0,30.0,56.0,5.398195134122509e-07,3209.935834169388,48.0967001914978,43294.0,615.2302437619092,,
36,6.0,30.0,60.0,1.4254771721617909e-05,353.7257959842682,60.644142866134644,1525.0,624.4437354230204,,
37,7.0,30.0,57.0,4.438899441912243e-09,1215.047422170639,53.982840061187744,5394.0,574.534097911495,,
38,8.0,30.0,54.0,4.397267975709084e-08,467.21670508384705,48.826711893081665,1036.0,545.0272734555602,,
39,9.0,30.0,58.0,1.4367031158609482e-08,711.6486711502075,50.06096911430359,3379.0,607.9345239408019,,
40,0.0,50.0,83.0,0.0,2175.2548410892487,203.01358008384705,7892.0,737.2900644656099,,
41,1.0,50.0,82.0,0.0,3317.2004799842834,208.29833507537842,36081.0,782.694209948864,,
42,2.0,50.0,83.0,0.0379747800328641,3605.8936388492584,192.4754500389099,30747.0,805.9491059060941,,
43,3.0,50.0,83.0,0.0,2053.620329141617,186.12853384017944,6882.0,792.39217883005,,
44,4.0,50.0,90.0,0.011134500113517996,3607.0386769771576,254.28129196166992,11839.0,745.5270023491356,,
45,5.0,50.0,86.0,0.026500865215490454,3606.6175780296326,206.16319608688354,16888.0,761.3828236494704,,
46,6.0,50.0,87.0,0.10374647960871394,3600.884336948395,202.5874490737915,26869.0,858.0664395445779,,
47,7.0,50.0,79.0,0.0,2239.9468779563904,192.81488704681396,3468.0,751.6254338655234,,
48,8.0,50.0,91.0,1.2217554365263066e-07,2979.2542519569397,228.28893089294434,8221.0,773.6480362508789,,
49,9.0,50.0,91.0,2.6388566046438887e-05,2376.6719110012054,227.2971498966217,6188.0,711.763831030631,,
50,0.0,80.0,127.0,0.794138262148094,3606.7839460372925,822.5219230651855,15283.0,4622.68079481137,,
51,1.0,80.0,125.0,0.4819252378232316,3602.5624480247498,868.283017873764,3473.0,1906.5967168370887,,
52,2.0,80.0,145.0,0.99989582717821,3604.1232039928436,1090.531502008438,8171.0,9363334.76668748,,
53,3.0,80.0,135.0,0.7357641208017466,3605.292236804962,855.9761049747467,15365.0,3899.1930834572286,,
54,4.0,80.0,135.0,0.09027897575733593,3624.0230820178986,893.1084280014038,15851.0,1006.5046873322469,,
55,5.0,80.0,142.0,0.7801376616582045,3603.243898153305,1008.1004371643066,13308.0,4354.456960709298,,
56,6.0,80.0,137.0,0.9998870988140556,3602.3604600429535,928.987322807312,12532.0,8875731.568574904,,
57,7.0,80.0,127.0,0.013315389826500641,3620.4121379852295,743.4510672092438,12920.0,982.7451463590263,,
58,8.0,80.0,139.0,0.7300284143882856,3602.333973169327,958.9136312007904,16066.0,3634.132224808973,,
59,9.0,80.0,138.0,0.4341565958596256,3621.336548089981,904.4047811031342,8628.0,1712.1411797292774,,
60,0.0,90.0,150.0,0.7936434744701644,3604.430610895157,1242.2872619628906,9119.0,4893.785300761242,,
61,1.0,90.0,162.0,0.25664371759126914,3605.26269197464,1594.2845640182495,12901.0,1336.0937178378515,,
62,2.0,90.0,151.0,,,,,,,
63,3.0,90.0,153.0,0.19544712244574602,3603.0871748924255,1316.5252969264984,5943.0,1217.2534394335894,,
64,4.0,90.0,146.0,0.9999324991735382,3605.093250989914,1155.8996098041534,3149.0,16052216.013410173,,
65,5.0,90.0,152.0,0.7902480607600598,3604.957076072693,1350.3674941062927,2922.0,4815.858125476739,,
66,6.0,90.0,152.0,0.5472661174554581,3603.214910030365,1350.8691630363464,6704.0,2301.0361983115936,,
67,7.0,90.0,148.0,0.9999152846206738,3603.760910987854,1185.2245490550995,8945.0,12229230.14363144,,
68,8.0,90.0,149.0,,,,,,,
69,9.0,90.0,145.0,0.9999082694506455,3604.5609929561615,1208.0924880504608,8804.0,11333576.110368954,,
70,0.0,100.0,156.0,0.9999320667332346,3603.4556448459625,1628.864070892334,2861.0,16997153.85126423,,
71,1.0,100.0,178.0,0.502381307279892,3658.0006589889526,2058.3486499786377,2265.0,2224.8039420381333,,
72,2.0,100.0,163.0,0.8193352964552231,3605.8237771987915,1699.7074329853058,5993.0,5915.990942684713,,
73,3.0,100.0,168.0,0.7866440056432508,3604.2426471710205,1943.909193277359,9152.0,4830.741987705276,,
74,4.0,100.0,163.0,0.999928846971461,3604.7553629875183,1659.6396689414978,2580.0,15727225.243209891,,
75,5.0,100.0,157.0,0.7453696580162839,3604.9197669029236,1544.7066349983215,5165.0,4517.729455672864,,
76,6.0,100.0,163.0,0.8077177701636649,3604.874110221863,1827.2841448783875,8007.0,5360.4587646303125,,
77,7.0,100.0,157.0,,,,,,,
78,8.0,100.0,159.0,,,,,,,
79,9.0,100.0,164.0,,,,,,,
