,Instance,n_N,n_B,Strength,A4,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
25,0,10,10,True,False,9.703971207445012e-09,1.623826026916504,9.81926679611206,1339.0,301.5524142185812,,
26,1,10,10,True,False,0.0,1.1377551555633545,11.41604232788086,938.0,286.3878437568034,,
27,2,10,7,True,False,1.4126851689220282e-06,3.4728341102600098,6.981624126434326,693.0,309.81855664239424,,
28,3,10,9,True,False,0.0,0.9219701290130616,8.354161977767944,212.0,307.7519878475079,,
29,4,10,10,True,False,0.0,1.2830159664154053,11.478134393692017,301.0,310.9028085141597,,
30,0,10,21,False,True,0.0,20.70290493965149,14.87875747680664,3810.0,312.15292872896896,,
31,1,10,21,False,True,0.0,4.96410608291626,14.584726095199583,778.0,303.9934561119007,,
32,2,10,15,False,True,0.7195885652858057,3600.082582950592,5.707557678222656,8031757.0,345.00587335917714,,
33,3,10,19,False,True,0.762715932976121,3600.148583889008,10.890301942825316,3788480.0,305.95591781912765,,
34,4,10,20,False,True,0.0,17.7596538066864,12.92031717300415,4495.0,340.12972056483113,,
35,0,10,21,True,True,0.0,1.4286508560180664,10.986509323120115,199.0,337.19869588268216,,
36,1,10,21,True,True,0.0,1.708178997039795,10.749001502990724,271.0,321.0978777928545,,
37,2,10,15,True,True,0.0,1.50490403175354,5.611762762069702,445.0,357.82272424453737,,
38,3,10,19,True,True,0.0,1.5815448760986328,8.878486394882202,125.0,337.6707362040499,,
39,4,10,20,True,True,0.0,1.4102768898010254,9.988455057144163,212.0,350.99772409226665,,
40,0,20,17,False,False,0.0093108878006374,3600.825362920761,48.183085203170776,141295.0,377.1110957314127,,
41,1,20,18,False,False,0.9711890862538268,3600.213932991028,52.21756052970886,794027.0,653.4822965038992,,
42,2,20,16,False,False,0.0166588317759871,3600.2741820812225,45.09348154067993,202360.0,342.87278114410014,,
43,3,20,20,False,False,0.0122734228396273,3600.881215810776,61.15830063819885,101815.0,387.7044254973408,,
44,4,20,17,False,False,0.0096490422474973,3600.2209119796757,47.9752938747406,575928.0,436.8521248633757,,
45,0,20,17,True,False,5.135155405751926e-05,15.454880952835085,63.54573893547058,2011.0,389.9898557455305,,
46,1,20,18,True,False,3.163395628526507e-05,17.71694803237915,76.35905885696411,2263.0,347.94312540815866,,
47,2,20,16,True,False,0.0,3.771684885025024,68.95818758010864,586.0,349.8862416771036,,
48,3,20,20,True,False,9.4784494330018e-05,10.147462129592896,94.1989393234253,480.0,398.8842155430005,,
