,Instance,Radii,n_N,n_B,Strength,A4,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
106,5,0.25,12,17,True,False,2.0909882079326715e-07,275.0092861652374,7.474115610122681,19854.0,37.855044775896246,,
107,5,0.5,12,17,True,False,0.13323101420240846,3600.122342824936,7.7134528160095215,71174.0,35.592684203336745,,
108,5,1.0,12,17,True,False,0.5971884521798362,3600.117917060852,8.82677412033081,315055.0,33.371500380899306,,
109,6,0.25,12,19,True,False,5.048831631476327e-06,87.6492109298706,9.32085633277893,5355.0,41.106669502683886,,
110,6,0.5,12,19,True,False,0.05072719675449251,3600.2201080322266,9.897324800491333,77669.0,37.374503048292524,,
111,6,1.0,12,19,True,False,0.44698259702380944,3600.146138906479,11.01815390586853,215793.0,35.204275520796386,,
112,7,0.25,12,23,True,False,7.625833474558657e-06,147.8529770374298,13.342613220214844,5562.0,46.7583040599193,,
113,7,0.5,12,23,True,False,0.03346956725461307,3600.211587905884,13.917091608047485,75408.0,42.11163675624748,,
114,7,1.0,12,23,True,False,0.3386994516662457,3600.1842608451843,14.930346250534058,189797.0,36.09040010003578,,
115,8,0.25,12,19,True,False,1.6801332630258976e-05,200.23416686058044,9.68014645576477,16935.0,44.3972007424626,,
116,8,0.5,12,19,True,False,0.07926028525957718,3600.105348110199,10.208617687225342,106244.0,40.63416318332065,,
117,8,1.0,12,19,True,False,,,,,,,
118,9,0.25,12,20,True,False,2.2133317794542373e-07,126.3993730545044,10.060187101364136,6818.0,43.41846768108633,,
119,9,0.5,12,20,True,False,0.1088589753884447,3601.664265871048,10.509209156036377,65961.0,38.16372863723312,,
120,9,1.0,12,20,True,False,0.3837722820672258,3600.296733856201,11.813790082931519,137188.0,34.79849654476551,,
