,Instance,Radii,n_N,n_B,Strength,A4,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
23,7,0.5,14,26,True,False,0.14055574668673795,3600.2311220169067,27.92385482788086,124986.0,48.06015506676324,,
24,7,1.0,14,26,True,False,,,,,,,
25,8,0.25,14,24,True,False,2.362218565443301e-06,849.7731668949127,23.349236965179443,35022.0,46.2619619271881,,
26,8,0.5,14,24,True,False,0.11116412289641449,3603.93315076828,23.808699131011963,83283.0,42.65346447228786,,
27,8,1.0,14,24,True,False,0.6316766655901807,3600.242511034012,25.746951580047607,81282.0,58.5373076622421,,
28,9,0.25,14,23,True,False,1.3797067979868627e-06,576.8655159473419,19.889626502990723,20584.0,46.606077709847696,,
29,9,0.5,14,23,True,False,0.08578776379518321,3600.3052899837494,20.876617670059204,74853.0,42.558028558629196,,
30,9,1.0,14,23,True,False,,,,,,,
31,0,0.25,16,30,True,False,0.026157533591140824,3600.374887943268,42.05992841720581,71004.0,54.083930022592156,,
32,0,0.5,16,30,True,False,0.14734508895012388,3600.3841030597687,43.90676808357239,177999.0,48.63202761635066,,
33,0,1.0,16,30,True,False,,,,,,,
34,1,0.25,16,31,True,False,1.5449756623796982e-06,893.4137489795685,43.466206312179565,23508.0,53.32438421098365,,
35,1,0.5,16,31,True,False,0.09396954904687103,3600.4134550094604,44.56907105445862,54249.0,48.763907478745416,,
36,1,1.0,16,31,True,False,,,,,,,
37,2,0.25,16,29,True,False,0.0003550236057589709,3600.3342411518097,37.50485014915466,56611.0,40.45485980950653,,
38,2,0.5,16,29,True,False,0.3140939622335778,3600.4069979190826,38.79867744445801,160090.0,41.18320703226621,,
39,2,1.0,16,29,True,False,,,,,,,
40,3,0.25,16,31,True,False,0.0159323552027152,3600.3742821216583,43.45448040962219,119512.0,50.384940777926374,,
41,3,0.5,16,31,True,False,0.12942255506315894,3600.376923084259,45.262744426727295,110705.0,46.446249210526204,,
42,3,1.0,16,31,True,False,,,,,,,
43,4,0.25,16,32,True,False,7.258232601069704e-06,316.2827911376953,57.61355900764465,8534.0,55.36647291720256,,
44,4,0.5,16,32,True,False,0.03687433730987559,3600.4035868644714,47.21863102912903,70663.0,50.53899060785117,,
45,4,1.0,16,32,True,False,,,,,,,
